decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0,1.3333333333333333,grd,0
122.5,15.8,12.3,125.6,10.3,9.5,1.1,0.8,0.6,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,249.4,18.8,15.6,0.5,0.5,1,1.3333333333333333,lam,1
124.7,16.2,12.8,125.8,10.3,9.3,1.3,0.9,0.6,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,252.1,19.2,15.8,1.5,0.5,1,1.3333333333333333,lam,1
19.1,5.2,4.0,28.0,6.1,5.3,493.9,35.2,34.4,9.0,1.7,1.3,2.4,0.9,0.7,0.0,0.0,0.0,552.4,36.1,35.1,0.5,0.5,1,1.3333333333333333,rho,1
11.4,3.5,2.8,16.6,4.4,3.7,4.8,2.0,1.6,0.1,0.0,0.0,74.5,14.3,15.2,1.4,0.3,0.3,108.7,15.5,16.0,0.5,1.5,1,1.3333333333333333,rho,1
20.1,5.3,4.1,29.3,6.2,5.2,950.7,98.5,88.3,17.4,4.5,3.1,2.6,1.0,0.8,0.0,0.0,0.0,1020.2,98.9,88.6,1.5,0.5,1,1.3333333333333333,rho,1
33.2,9.2,7.1,48.6,11.2,9.6,14.4,5.1,4.1,0.3,0.1,0.1,363.4,26.7,26.3,6.6,1.3,1.0,466.4,30.8,29.2,1.5,1.5,1,1.3333333333333333,rho,1
22.9,6.6,5.3,33.5,7.9,6.9,10.3,3.8,3.1,0.2,0.1,0.1,945.8,107.7,97.1,17.3,4.6,3.2,1030.0,108.3,97.6,2.5,1.5,1,1.3333333333333333,rho,1
