decay_0,dec_up_0,dec_dn_0,decay_1,dec_up_1,dec_dn_1,decay_2,dec_up_2,dec_dn_2,decay_3,dec_up_3,dec_dn_3,decay_4,dec_up_4,dec_dn_4,decay_5,dec_up_5,dec_dn_5,decay_6,dec_up_6,dec_dn_6,decay_7,dec_up_7,dec_dn_7,decay_8,dec_up_8,dec_dn_8,decay_9,dec_up_9,dec_dn_9,decay_10,dec_up_10,dec_dn_10,decay_11,dec_up_11,dec_dn_11,decay_12,dec_up_12,dec_dn_12,decay_13,dec_up_13,dec_dn_13,decay_14,dec_up_14,dec_dn_14,decay_15,dec_up_15,dec_dn_15,decay_16,dec_up_16,dec_dn_16,decay_17,dec_up_17,dec_dn_17,decay_18,dec_up_18,dec_dn_18,decay_19,dec_up_19,dec_dn_19,decay_20,dec_up_20,dec_dn_20,decay_21,dec_up_21,dec_dn_21,decay_22,dec_up_22,dec_dn_22,decay_23,dec_up_23,dec_dn_23,decay_24,dec_up_24,dec_dn_24,decay_25,dec_up_25,dec_dn_25,dec_tot,dec_tot_up,dec_tot_dn,J_tot,S_tot,L_tot,SU_tot,ModEx,HO_n
7.6,7.4,5.2,1.5,1.5,1.1,15.6,15.1,10.8,0.3,0.4,0.2,1.4,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,11.2,7.9,0.0,0.0,0.0,96.5,96.8,67.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4,98.9,68.6,2.5,0.5,2,3.3333333333333335,lam,2
0.1,0.1,0.1,7.0,6.8,4.9,2.3,3.5,1.8,0.0,0.0,0.0,0.5,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.1,2.4,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,5.8,3.7,0.0,0.0,0.0,63.9,64.6,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.2,65.5,45.7,0.5,1.5,2,3.3333333333333335,lam,2
0.8,0.7,0.5,7.6,7.5,5.3,6.9,6.9,4.9,0.0,0.1,0.0,0.7,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,8.8,4.7,0.4,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,19.3,13.7,0.0,0.0,0.0,69.0,68.9,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,72.8,51.4,1.5,1.5,2,3.3333333333333335,lam,2
1.7,1.7,1.2,6.8,6.7,4.8,12.9,12.7,9.1,0.1,0.1,0.1,1.3,1.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.8,3.4,0.4,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7,41.0,28.5,0.0,0.0,0.0,69.7,68.8,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.9,81.6,57.6,2.5,1.5,2,3.3333333333333335,lam,2
2.3,2.3,1.6,8.1,8.5,5.7,19.1,19.0,13.5,0.1,0.2,0.1,2.1,2.2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.6,4.3,2.2,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8,57.9,40.8,0.0,0.0,0.0,58.0,64.7,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.4,89.5,60.4,3.5,1.5,2,3.3333333333333335,lam,2
0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.0,0.0,0.0,3.0,3.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.2,0.5,0.5,0,3.3333333333333335,rpl,2
0.1,0.1,0.0,0.4,0.3,0.3,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.7,0.0,0.0,0.0,2.2,2.1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.4,1.7,1.5,1.5,0,3.3333333333333335,rpl,2
0.2,0.3,0.2,0.1,0.1,0.0,2.8,2.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.6,8.5,0.2,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.3,0.4,0.3,0.1,0.2,0.1,0.4,0.4,0.3,0.3,0.3,0.2,1.2,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,6.2,5.9,4.3,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,13.4,9.8,0.5,0.5,0,3.3333333333333335,rpr,2
0.1,0.1,0.1,0.3,0.5,0.2,3.4,3.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,16.7,16.5,11.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.4,0.6,0.4,0.1,0.1,0.1,0.8,0.8,0.5,1.3,1.3,0.9,0.1,0.2,0.1,0.0,0.0,0.0,0.3,0.3,0.2,8.6,8.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,19.0,13.4,1.5,1.5,0,3.3333333333333335,rpr,2
7.3,7.7,5.2,122.6,123.0,87.1,0.0,0.0,0.0,1.3,1.3,0.9,0.0,0.0,0.0,9.4,25.5,9.4,0.1,0.5,0.1,217.7,220.7,154.7,20.9,21.5,14.9,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.6,2.5,5.3,12.1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.4,255.6,178.6,1.5,0.5,2,3.3333333333333335,mix,2
80.8,78.8,56.9,80.0,83.5,57.0,0.0,0.0,0.0,8.6,8.7,6.1,0.0,0.0,0.0,1.8,3.5,1.8,1.2,4.1,1.2,69.3,75.8,49.6,3.1,3.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,15.2,16.0,10.9,0.6,1.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.6,0.7,0.4,1.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.7,138.9,95.5,2.5,0.5,2,3.3333333333333335,mix,2
0.0,0.0,0.0,2.3,2.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.9,2.0,1.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.1,2.1,0.5,0.5,1,3.3333333333333335,mix,2
1.3,1.3,0.9,1.2,1.2,0.8,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.1,1.4,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.8,1.9,1.5,0.5,1,3.3333333333333335,mix,2
2.1,4.3,1.8,1.6,4.5,1.6,0.0,0.0,0.0,1.6,1.7,1.1,0.0,0.0,0.0,9.4,19.8,9.4,1.1,4.0,1.1,27.1,31.5,20.0,3.7,3.8,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.2,4.4,3.0,5.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,9.1,3.6,0.3,1.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9,40.2,23.4,0.5,0.5,0,3.3333333333333335,mix,2
51.5,51.1,36.5,3.8,3.8,2.7,124.7,120.8,88.0,4.4,4.5,3.1,12.2,12.4,8.7,220.5,213.0,154.2,0.4,0.6,0.3,2.2,3.3,1.7,2.2,2.2,1.5,1.5,3.0,1.5,1.3,4.0,1.3,8.3,8.1,5.9,8.7,8.4,6.2,14.0,14.1,10.1,0.0,0.0,0.0,0.0,0.0,0.0,112.0,108.2,78.3,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,273.6,198.1,1.5,0.5,2,3.3333333333333335,rho,2
88.7,88.6,62.3,55.9,56.4,39.4,166.4,165.9,116.8,10.5,10.5,7.4,26.3,26.4,18.5,120.7,145.2,88.0,1.5,1.4,1.0,76.6,84.7,54.9,4.9,5.3,3.5,3.8,6.9,3.8,0.2,0.6,0.2,22.6,22.7,15.9,2.5,3.0,1.8,0.9,1.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,57.1,69.4,41.6,0.8,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.3,270.2,179.5,2.5,0.5,2,3.3333333333333335,rho,2
17.8,19.6,12.8,16.2,16.2,11.5,221.1,226.2,156.4,0.7,1.1,0.6,11.0,14.4,8.3,13.6,13.2,9.6,700.2,683.0,492.6,14.4,17.2,10.8,5.2,5.1,3.6,0.4,0.6,0.4,2.9,7.1,2.9,0.2,0.7,0.2,13.8,13.9,9.8,19.2,20.2,13.9,0.0,0.0,0.0,0.0,0.0,0.0,6.9,6.7,4.8,353.0,342.8,247.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.6,798.3,574.0,0.5,1.5,2,3.3333333333333335,rho,2
14.4,14.5,10.2,4.3,4.4,3.1,134.5,132.2,95.7,1.3,1.3,0.9,13.9,14.3,9.9,26.0,24.9,18.5,300.7,295.3,214.2,40.2,40.6,28.8,2.5,2.7,1.8,0.6,0.9,0.5,5.0,9.8,5.0,2.3,2.3,1.6,15.9,15.3,11.3,36.8,37.2,26.4,0.0,0.0,0.0,0.0,0.0,0.0,13.1,12.6,9.3,153.3,149.6,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,362.8,263.1,1.5,1.5,2,3.3333333333333335,rho,2
14.1,13.9,9.9,78.2,80.8,55.1,80.9,78.7,56.4,2.1,2.0,1.5,19.7,19.4,13.8,16.0,15.4,11.1,30.6,32.9,21.9,68.7,70.2,48.3,7.2,7.3,5.0,1.0,1.5,0.9,5.3,8.5,5.1,4.9,4.8,3.4,13.9,13.6,9.7,23.0,23.1,16.2,0.7,3.1,0.7,0.0,0.0,0.0,8.0,7.7,5.6,16.1,17.2,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.5,144.2,100.2,2.5,1.5,2,3.3333333333333335,rho,2
29.1,29.3,20.3,181.3,183.0,126.7,221.0,219.3,153.9,3.3,3.4,2.3,33.7,34.5,23.6,33.9,38.5,24.1,247.4,343.5,188.6,279.7,288.8,195.6,19.5,20.5,13.6,2.0,2.7,1.6,2.6,5.3,2.5,6.9,7.0,4.8,14.7,17.1,10.6,26.0,34.0,19.6,0.6,2.2,0.6,0.0,0.0,0.0,16.3,18.6,11.6,115.3,162.6,88.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1233.3,561.5,351.8,3.5,1.5,2,3.3333333333333335,rho,2
